REGIAO;ANO;VALOR
BRASILIA;2022;170
RECANTO DAS EMAS;2022;130
SANTA MARIA;2022;102
GAMA;2022;98
GUARA;2022;97
SOL NASCENTE/POR DO SOL;2022;88
SAO SEBASTIAO;2022;85
ESTRUTURAL;2022;67
SOBRADINHO;2022;66
ITAPOA;2022;64
PARANOA;2022;62
BRAZLANDIA;2022;57
SOBRADINHO 2;2022;55
RIACHO FUNDO 2;2022;43
RIACHO FUNDO;2022;42
AGUAS CLARAS;2022;38
VICENTE PIRES;2022;38
NUCLEO BANDEIRANTE;2022;21
ARNIQUEIRA;2022;17
LAGO NORTE;2022;17
SUDOESTE;2022;16
PARK WAY;2022;16
CRUZEIRO;2022;13
LAGO SUL;2022;10
FERCAL;2022;9
VARJAO DO TORTO;2022;9
SIA;2022;7
JARDIM BOTANICO;2022;6
CANDANGOLANDIA;2022;6
CEILANDIA;2023;347
BRASILIA;2023;212
SAMAMBAIA;2023;201
TAGUATINGA;2023;188
PLANALTINA;2023;155
RECANTO DAS EMAS;2023;140
GAMA;2023;125
SANTA MARIA;2023;111
SAO SEBASTIAO;2023;110
GUARA;2023;100
SOL NASCENTE/POR DO SOL;2023;94
PARANOA;2023;85
SOBRADINHO 2;2023;78
ESTRUTURAL;2023;67
RIACHO FUNDO 2;2023;65
SOBRADINHO;2023;56
BRAZLANDIA;2023;53
ITAPOA;2023;52
VICENTE PIRES;2023;50
AGUAS CLARAS;2023;40
RIACHO FUNDO;2023;36
ARNIQUEIRA;2023;35
NUCLEO BANDEIRANTE;2023;31
JARDIM BOTANICO;2023;25
SUDOESTE;2023;22
LAGO NORTE;2023;20
LAGO SUL;2023;18
CRUZEIRO;2023;14
PARK WAY;2023;10
CANDANGOLANDIA;2023;9
SIA;2023;9
FERCAL;2023;7
VARJAO DO TORTO;2023;7
